"Région","Année","Temp_Max","Temp_Min"
"Île-de-France",2004,15.5418093861013,6.8003183956674
"Centre-Val de Loire",2004,16.2596759908385,7.01297347905574
"Bourgogne-Franche-Comté",2004,14.8742270552097,6.04300753280837
"Normandie",2004,15.2531122376326,7.12941751038069
"Hauts-de-France",2004,14.5223437242618,6.77383944855197
"Grand Est",2004,14.5262241389958,5.71480506972437
"Pays de la Loire",2004,16.6292514285142,7.85334159978862
"Bretagne",2004,15.5591439841866,8.3641719619318
"Nouvelle-Aquitaine",2004,17.4464677121444,7.73798010233982
"Occitanie",2004,16.803413868158,7.30093055877337
"Auvergne-Rhône-Alpes",2004,14.3771191545977,5.00767533859803
"Provence-Alpes-Côte d'Azur",2004,15.148173931149,6.55376602360424
"Corse",2004,16.7975076080462,10.8130122232875
"Île-de-France",2005,15.8938186215789,6.85634607634211
"Centre-Val de Loire",2005,16.5701941182087,6.93772320913804
"Bourgogne-Franche-Comté",2005,15.0074856011791,5.87577294368059
"Normandie",2005,15.5478911351573,7.12194104085403
"Hauts-de-France",2005,14.8477543082412,6.9173663478811
"Grand Est",2005,14.7661977924423,5.75360772661254
"Pays de la Loire",2005,16.974272118372,7.80150538011461
"Bretagne",2005,15.8605626177498,8.31598147644635
"Nouvelle-Aquitaine",2005,17.5812035635547,7.48935744508645
"Occitanie",2005,16.6178711489278,6.87508163087858
"Auvergne-Rhône-Alpes",2005,14.3214555075165,4.6585482627539
"Provence-Alpes-Côte d'Azur",2005,14.897946162549,6.03003965123078
"Corse",2005,16.4175993726888,10.1613302725171
"Île-de-France",2006,16.0230786181564,7.20796003391934
"Centre-Val de Loire",2006,16.7368405163288,7.47205424947398
"Bourgogne-Franche-Comté",2006,15.3892591985616,6.42630208212327
"Normandie",2006,15.6679142325497,7.52375243277898
"Hauts-de-France",2006,15.0592802228971,7.13626613012806
"Grand Est",2006,15.107039918392,6.13228243073973
"Pays de la Loire",2006,17.0687262546927,8.33435070047308
"Bretagne",2006,15.9455799910121,8.80042944550859
"Nouvelle-Aquitaine",2006,18.1648816415666,8.2920019556587
"Occitanie",2006,17.6666866388848,7.80928566559385
"Auvergne-Rhône-Alpes",2006,15.0519136362688,5.45215309008733
"Provence-Alpes-Côte d'Azur",2006,15.8966514822171,6.94324814081654
"Corse",2006,17.2938379252722,11.0512538459323
"Île-de-France",2007,15.9182586757876,7.20485287629883
"Centre-Val de Loire",2007,16.3989380547753,7.28360728068011
"Bourgogne-Franche-Comté",2007,15.2722240600814,6.3739583309185
"Normandie",2007,15.4873157423992,7.4145666992785
"Hauts-de-France",2007,15.0923705371916,7.18298558915542
"Grand Est",2007,15.2014481661854,6.24915465527522
"Pays de la Loire",2007,16.6614019332394,8.11235318337717
"Bretagne",2007,15.6649247309205,8.6326433130959
"Nouvelle-Aquitaine",2007,17.5529215477258,7.6999638005106
"Occitanie",2007,17.1905873461189,7.09402844049324
"Auvergne-Rhône-Alpes",2007,14.7629449623557,5.13605768864393
"Provence-Alpes-Côte d'Azur",2007,15.760231109879,6.61666245219017
"Corse",2007,17.2292048708015,10.9181651574756
"Île-de-France",2008,15.5789306248601,6.77739348681705
"Centre-Val de Loire",2008,16.1072882746721,6.93867019322011
"Bourgogne-Franche-Comté",2008,14.8657053474416,5.99374446161884
"Normandie",2008,15.1154013518393,7.01067750251985
"Hauts-de-France",2008,14.6928356001879,6.72393162373983
"Grand Est",2008,14.7469673862478,5.74758869151847
"Pays de la Loire",2008,16.3658808985064,7.77735317670382
"Bretagne",2008,15.276891538292,8.25076722601762
"Nouvelle-Aquitaine",2008,17.3757965117074,7.52552574804291
"Occitanie",2008,16.9532832720511,7.07509251155586
"Auvergne-Rhône-Alpes",2008,14.3525132015027,4.9249868018028
"Provence-Alpes-Côte d'Azur",2008,15.2546727385915,6.57114961552943
"Corse",2008,16.8660244819221,11.0304893038688
"Île-de-France",2009,15.9960035153214,6.58354194424997
"Centre-Val de Loire",2009,16.7700960690325,6.8660579004458
"Bourgogne-Franche-Comté",2009,15.4989583232301,6.09625166171092
"Normandie",2009,15.4776815898125,6.79971585657346
"Hauts-de-France",2009,14.9295332617589,6.49635076331037
"Grand Est",2009,15.0659783848638,5.79996997131212
"Pays de la Loire",2009,16.988263019912,7.6483622792341
"Bretagne",2009,15.7762883649648,8.08763751503216
"Nouvelle-Aquitaine",2009,18.2215763107533,7.76153822172845
"Occitanie",2009,17.7273508854726,7.4238590238937
"Auvergne-Rhône-Alpes",2009,15.1452733715954,5.19525263592472
"Provence-Alpes-Côte d'Azur",2009,15.9201754493119,6.8531756096621
"Corse",2009,17.3084251211324,11.2391743025648
"Île-de-France",2010,14.7779863958145,5.79628897844096
"Centre-Val de Loire",2010,15.5462222586979,6.10343615420453
"Bourgogne-Franche-Comté",2010,14.1677194145766,5.28582945648343
"Normandie",2010,14.3885988231409,5.9555407530714
"Hauts-de-France",2010,13.6565569052449,5.51504105692116
"Grand Est",2010,13.7158513507928,4.95376708921863
"Pays de la Loire",2010,15.8742183491255,6.87916046904571
"Bretagne",2010,14.780828982885,7.26440841473799
"Nouvelle-Aquitaine",2010,16.9658213729988,6.85767063777507
"Occitanie",2010,16.3950823418306,6.42932267088672
"Auvergne-Rhône-Alpes",2010,13.7578374832745,4.28665535345921
"Provence-Alpes-Côte d'Azur",2010,14.5846997264882,6.00920209225723
"Corse",2010,16.2587309154895,10.6395718644518
"Île-de-France",2011,16.9053140497019,7.39493852421857
"Centre-Val de Loire",2011,17.6745874146362,7.67732007898294
